Name;NoF;CTC;eCTC;packTime
100-10-2-7;100;10;2;39
100-10-2-8;100;10;2;25
100-10-2-9;100;10;2;46
100-10-5-0;100;10;5;28
100-10-5-1;100;10;5;17
100-10-5-2;100;10;5;21
100-10-5-3;100;10;5;42
100-10-5-4;100;10;5;29
100-10-5-5;100;10;5;20
100-10-5-6;100;10;5;31
100-10-5-7;100;10;5;40
100-10-5-8;100;10;5;1
100-10-5-9;100;10;5;27
100-15-0-0;100;15;0;27
100-15-0-1;100;15;0;52
100-15-0-2;100;15;0;23
100-15-0-3;100;15;0;22
100-15-0-4;100;15;0;45
100-15-0-5;100;15;0;35
100-15-0-6;100;15;0;42
100-15-0-7;100;15;0;34
100-15-0-8;100;15;0;35
100-15-0-9;100;15;0;44
100-15-2-0;100;15;2;43
100-15-2-1;100;15;2;37
100-15-2-2;100;15;2;8
100-15-2-3;100;15;2;47
100-15-2-4;100;15;2;44
100-15-2-5;100;15;2;39
100-15-2-6;100;15;2;23
100-15-2-7;100;15;2;38
100-15-2-8;100;15;2;34
100-15-2-9;100;15;2;44
100-15-5-0;100;15;5;33
100-15-5-1;100;15;5;36
100-15-5-2;100;15;5;25
100-15-5-3;100;15;5;31
100-15-5-4;100;15;5;44
100-15-5-5;100;15;5;27
100-15-5-6;100;15;5;36
100-15-5-7;100;15;5;9
100-15-5-8;100;15;5;30
100-15-5-9;100;15;5;37
200-5-0-0;200;5;0;208
200-5-0-1;200;5;0;31
200-5-0-2;200;5;0;193
200-5-0-3;200;5;0;182
200-5-0-4;200;5;0;162
200-5-0-5;200;5;0;195
200-5-0-6;200;5;0;175
200-5-0-7;200;5;0;203
200-5-0-8;200;5;0;187
200-5-0-9;200;5;0;191
200-5-2-0;200;5;2;68
200-5-2-1;200;5;2;155
200-5-2-2;200;5;2;189
200-5-2-3;200;5;2;157
200-5-2-4;200;5;2;185
200-5-2-5;200;5;2;174
200-5-2-6;200;5;2;141
200-5-2-7;200;5;2;186
200-5-2-8;200;5;2;165
200-5-2-9;200;5;2;149
200-5-5-0;200;5;5;183
200-5-5-1;200;5;5;117
200-5-5-2;200;5;5;160
200-5-5-3;200;5;5;172
200-5-5-4;200;5;5;197
200-5-5-5;200;5;5;127
200-5-5-6;200;5;5;171
200-5-5-7;200;5;5;166
200-5-5-8;200;5;5;73
200-5-5-9;200;5;5;58
200-10-0-0;200;10;0;200
200-10-0-1;200;10;0;184
200-10-0-2;200;10;0;135
200-10-0-3;200;10;0;171
200-10-0-4;200;10;0;156
200-10-0-5;200;10;0;194
200-10-0-6;200;10;0;177
200-10-0-7;200;10;0;153
200-10-0-8;200;10;0;163
200-10-0-9;200;10;0;184
200-10-2-0;200;10;2;169
200-10-2-1;200;10;2;157
200-10-2-2;200;10;2;132
200-10-2-3;200;10;2;170
200-10-2-4;200;10;2;116
200-10-2-5;200;10;2;70
200-10-2-6;200;10;2;129
200-10-2-7;200;10;2;101
200-10-2-8;200;10;2;14
200-10-2-9;200;10;2;190
200-10-5-0;200;10;5;145
200-10-5-1;200;10;5;86
200-10-5-2;200;10;5;79
200-10-5-3;200;10;5;65
200-10-5-4;200;10;5;154
200-10-5-5;200;10;5;125
200-10-5-6;200;10;5;173
200-10-5-7;200;10;5;113
200-10-5-8;200;10;5;168
200-10-5-9;200;10;5;137
200-15-0-0;200;15;0;164
200-15-0-1;200;15;0;165
200-15-0-2;200;15;0;21
200-15-0-3;200;15;0;159
200-15-0-4;200;15;0;136
200-15-0-5;200;15;0;36
200-15-0-6;200;15;0;174
200-15-0-7;200;15;0;175
200-15-0-8;200;15;0;150
200-15-0-9;200;15;0;173
200-15-2-0;200;15;2;123
200-15-2-1;200;15;2;120
200-15-2-2;200;15;2;131
200-15-2-3;200;15;2;94
200-15-2-4;200;15;2;155
200-15-2-5;200;15;2;196
200-15-2-6;200;15;2;152
200-15-2-7;200;15;2;144
200-15-2-8;200;15;2;164
200-15-2-9;200;15;2;180
200-15-5-0;200;15;5;105
200-15-5-1;200;15;5;171
200-15-5-2;200;15;5;81
200-15-5-3;200;15;5;37
200-15-5-4;200;15;5;102
200-15-5-5;200;15;5;77
200-15-5-6;200;15;5;12
200-15-5-7;200;15;5;75
200-15-5-8;200;15;5;247
200-15-5-9;200;15;5;145
300-5-0-0;300;5;0;362
300-5-0-1;300;5;0;260
300-5-0-2;300;5;0;425
300-5-0-3;300;5;0;411
300-5-0-4;300;5;0;373
300-5-0-5;300;5;0;199
300-5-0-6;300;5;0;356
300-5-0-7;300;5;0;435
300-5-0-8;300;5;0;436
300-5-0-9;300;5;0;272
300-5-2-0;300;5;2;363
300-5-2-1;300;5;2;377
300-5-2-2;300;5;2;250
300-5-2-3;300;5;2;379
300-5-2-4;300;5;2;326
300-5-2-5;300;5;2;414
300-5-2-6;300;5;2;295
300-5-2-7;300;5;2;523
300-5-2-8;300;5;2;382
300-5-2-9;300;5;2;403
300-5-5-0;300;5;5;399
300-5-5-1;300;5;5;296
300-5-5-2;300;5;5;156
300-5-5-3;300;5;5;318
300-5-5-4;300;5;5;284
300-5-5-5;300;5;5;293
300-5-5-6;300;5;5;306
300-5-5-7;300;5;5;321
300-5-5-8;300;5;5;386
300-5-5-9;300;5;5;390
300-10-0-0;300;10;0;493
300-10-0-1;300;10;0;400
300-10-0-2;300;10;0;388
300-10-0-3;300;10;0;366
300-10-0-4;300;10;0;403
300-10-0-5;300;10;0;407
300-10-0-6;300;10;0;376
300-10-0-7;300;10;0;389
300-10-0-8;300;10;0;399
300-10-0-9;300;10;0;361
300-10-2-0;300;10;2;383
300-10-2-1;300;10;2;403
300-10-2-2;300;10;2;130
300-10-2-3;300;10;2;316
300-10-2-4;300;10;2;367
300-10-2-5;300;10;2;108
300-10-2-6;300;10;2;44
300-10-2-7;300;10;2;344
300-10-2-8;300;10;2;399
300-10-2-9;300;10;2;321
300-10-5-0;300;10;5;293
300-10-5-1;300;10;5;332
300-10-5-2;300;10;5;279
300-10-5-3;300;10;5;234
300-10-5-4;300;10;5;313
300-10-5-5;300;10;5;275
300-10-5-6;300;10;5;275
300-10-5-7;300;10;5;193
300-10-5-8;300;10;5;204
300-10-5-9;300;10;5;393
300-15-0-0;300;15;0;344
300-15-0-1;300;15;0;407
300-15-0-2;300;15;0;412
300-15-0-3;300;15;0;386
300-15-0-4;300;15;0;133
300-15-0-5;300;15;0;376
300-15-0-6;300;15;0;379
300-15-0-7;300;15;0;385
300-15-0-8;300;15;0;353
300-15-0-9;300;15;0;362
300-15-2-0;300;15;2;399
300-15-2-1;300;15;2;379
300-15-2-2;300;15;2;202
300-15-2-3;300;15;2;267
300-15-2-4;300;15;2;168
300-15-2-5;300;15;2;408
300-15-2-6;300;15;2;371
300-15-2-7;300;15;2;395
300-15-2-8;300;15;2;349
300-15-2-9;300;15;2;366
300-15-5-0;300;15;5;314
300-15-5-1;300;15;5;246
300-15-5-2;300;15;5;343
300-15-5-3;300;15;5;184
300-15-5-4;300;15;5;144
300-15-5-5;300;15;5;77
300-15-5-6;300;15;5;388
300-15-5-7;300;15;5;385
300-15-5-8;300;15;5;370
300-15-5-9;300;15;5;259
400-5-0-0;400;5;0;652
400-5-0-1;400;5;0;866
400-5-0-2;400;5;0;960
400-5-0-3;400;5;0;722
400-5-0-4;400;5;0;714
400-5-0-5;400;5;0;657
400-5-0-6;400;5;0;805
400-5-0-7;400;5;0;720
400-5-0-8;400;5;0;609
400-5-0-9;400;5;0;813
400-5-2-0;400;5;2;908
400-5-2-1;400;5;2;783
400-5-2-2;400;5;2;601
400-5-2-3;400;5;2;642
400-5-2-4;400;5;2;645
400-5-2-5;400;5;2;686
400-5-2-6;400;5;2;711
400-5-2-7;400;5;2;796
400-5-2-8;400;5;2;646
400-5-2-9;400;5;2;681
400-5-5-0;400;5;5;692
400-5-5-1;400;5;5;777
400-5-5-2;400;5;5;737
400-5-5-3;400;5;5;593
400-5-5-4;400;5;5;694
400-5-5-5;400;5;5;623
400-5-5-6;400;5;5;711
400-5-5-7;400;5;5;403
400-5-5-8;400;5;5;525
400-5-5-9;400;5;5;640
400-10-0-0;400;10;0;680
400-10-0-1;400;10;0;403
400-10-0-2;400;10;0;599
400-10-0-3;400;10;0;274
400-10-0-4;400;10;0;373
400-10-0-5;400;10;0;463
400-10-0-6;400;10;0;687
400-10-0-7;400;10;0;695
400-10-0-8;400;10;0;424
400-10-0-9;400;10;0;701
400-10-2-0;400;10;2;689
400-10-2-1;400;10;2;655
400-10-2-2;400;10;2;606
400-10-2-3;400;10;2;583
400-10-2-4;400;10;2;282
400-10-2-5;400;10;2;661
400-10-2-6;400;10;2;715
400-10-2-7;400;10;2;857
400-10-2-8;400;10;2;639
400-10-2-9;400;10;2;237
400-10-5-0;400;10;5;190
400-10-5-1;400;10;5;678
400-10-5-2;400;10;5;614
400-10-5-3;400;10;5;744
400-10-5-4;400;10;5;466
400-10-5-5;400;10;5;510
400-10-5-6;400;10;5;871
400-10-5-7;400;10;5;906
400-10-5-8;400;10;5;629
400-10-5-9;400;10;5;412
400-15-0-0;400;15;0;694
400-15-0-1;400;15;0;879
400-15-0-2;400;15;0;868
400-15-0-3;400;15;0;845
400-15-0-4;400;15;0;78
400-15-0-5;400;15;0;616
400-15-0-6;400;15;0;150
400-15-0-7;400;15;0;630
400-15-0-8;400;15;0;877
400-15-0-9;400;15;0;893
400-15-2-0;400;15;2;645
400-15-2-1;400;15;2;263
400-15-2-2;400;15;2;615
400-15-2-3;400;15;2;409
400-15-2-4;400;15;2;583
400-15-2-5;400;15;2;689
400-15-2-6;400;15;2;759
400-15-2-7;400;15;2;724
400-15-2-8;400;15;2;250
400-15-2-9;400;15;2;684
400-15-5-0;400;15;5;463
400-15-5-1;400;15;5;472
400-15-5-2;400;15;5;36
400-15-5-3;400;15;5;319
400-15-5-4;400;15;5;105
400-15-5-5;400;15;5;34
400-15-5-6;400;15;5;690
400-15-5-7;400;15;5;583
400-15-5-8;400;15;5;257
400-15-5-9;400;15;5;421
500-5-0-0;500;5;0;1178
500-5-0-1;500;5;0;1260
500-5-0-2;500;5;0;1252
500-5-0-3;500;5;0;1393
500-5-0-4;500;5;0;1265
500-5-0-5;500;5;0;1389
500-5-0-6;500;5;0;1185
500-5-0-7;500;5;0;1101
500-5-0-8;500;5;0;1317
500-5-0-9;500;5;0;1060
500-5-2-0;500;5;2;1173
500-5-2-1;500;5;2;172
500-5-2-2;500;5;2;1032
500-5-2-3;500;5;2;948
500-5-2-4;500;5;2;1138
500-5-2-5;500;5;2;1021
500-5-2-6;500;5;2;1128
500-5-2-7;500;5;2;1192
500-5-2-8;500;5;2;717
500-5-2-9;500;5;2;1249
500-5-5-0;500;5;5;887
500-5-5-1;500;5;5;958
500-5-5-2;500;5;5;1127
500-5-5-3;500;5;5;967
500-5-5-4;500;5;5;1371
500-5-5-5;500;5;5;929
500-5-5-6;500;5;5;1119
500-5-5-7;500;5;5;1014
500-5-5-8;500;5;5;1085
500-5-5-9;500;5;5;842
500-10-0-0;500;10;0;1070
500-10-0-1;500;10;0;1025
500-10-0-2;500;10;0;890
500-10-0-3;500;10;0;461
500-10-0-4;500;10;0;1024
500-10-0-5;500;10;0;782
500-10-0-6;500;10;0;922
500-10-0-7;500;10;0;1082
500-10-0-8;500;10;0;911
500-10-0-9;500;10;0;1221
500-10-2-0;500;10;2;585
500-10-2-1;500;10;2;952
500-10-2-2;500;10;2;1042
500-10-2-3;500;10;2;1309
500-10-2-4;500;10;2;626
500-10-2-5;500;10;2;945
500-10-2-6;500;10;2;1148
500-10-2-7;500;10;2;1296
500-10-2-8;500;10;2;705
500-10-2-9;500;10;2;1041
500-10-5-0;500;10;5;808
500-10-5-1;500;10;5;605
500-10-5-2;500;10;5;1058
500-10-5-3;500;10;5;1071
500-10-5-4;500;10;5;1090
500-10-5-5;500;10;5;864
500-10-5-6;500;10;5;942
500-10-5-7;500;10;5;1159
500-10-5-8;500;10;5;1096
500-10-5-9;500;10;5;986
500-15-0-0;500;15;0;830
500-15-0-1;500;15;0;1024
500-15-0-2;500;15;0;1124
500-15-0-3;500;15;0;718
500-15-0-4;500;15;0;1058
500-15-0-5;500;15;0;518
500-15-0-6;500;15;0;1090
500-15-0-7;500;15;0;1137
500-15-0-8;500;15;0;1158
500-15-0-9;500;15;0;1169
500-15-2-0;500;15;2;1088
500-15-2-1;500;15;2;887
500-15-2-2;500;15;2;1049
500-15-2-3;500;15;2;214
500-15-2-4;500;15;2;1103
500-15-2-5;500;15;2;503
500-15-2-6;500;15;2;1085
500-15-2-7;500;15;2;1139
500-15-2-8;500;15;2;1015
500-15-2-9;500;15;2;1189
500-15-5-0;500;15;5;533
