Name;nectc;i;prunningPropagation;pruningTime;priorizationPropagation;prioritizationTime;packagingTime
connector_fm;2;3;0;1;1;0;1
connector_fm;2;4;0;1;1;1;2
connector_fm;2;5;0;0;0;0;0
connector_fm;2;6;1;1;1;1;1
connector_fm;2;7;1;0;1;0;1
connector_fm;2;8;0;0;0;0;0
connector_fm;2;9;0;1;1;0;1
connector_fm;5;0;0;0;0;0;0
connector_fm;5;1;1;0;0;1;1
connector_fm;5;2;0;0;0;0;0
connector_fm;5;3;0;0;0;0;0
connector_fm;5;4;0;0;0;0;0
connector_fm;5;5;1;0;1;0;1
connector_fm;5;6;0;0;0;0;0
connector_fm;5;7;0;0;0;0;0
connector_fm;5;8;0;0;0;0;0
connector_fm;5;9;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;0;0;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;0;1;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;0;2;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;0;3;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;0;4;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;0;5;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;0;6;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;0;7;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;0;8;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;0;9;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;2;0;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;2;1;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;2;2;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;2;3;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;2;4;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;2;5;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;2;6;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;2;7;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;2;8;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;2;9;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;5;0;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;5;1;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;5;2;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;5;3;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;5;4;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;5;5;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;5;6;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;5;7;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;5;8;0;0;0;0;0
DELL_LAPTOP_NOTEBOOK_FM;5;9;0;0;0;0;0
fame_dbms_fm;0;0;0;1;0;1;2
fame_dbms_fm;0;1;0;1;0;2;3
fame_dbms_fm;0;2;0;1;1;1;3
fame_dbms_fm;0;3;0;2;0;2;2
fame_dbms_fm;0;4;1;1;0;2;2
fame_dbms_fm;0;5;1;0;0;1;2
fame_dbms_fm;0;6;0;2;0;2;2
fame_dbms_fm;0;7;0;2;0;1;1
fame_dbms_fm;0;8;1;1;0;2;2
fame_dbms_fm;0;9;0;2;0;1;1
fame_dbms_fm;2;0;0;0;0;0;0
fame_dbms_fm;2;1;0;0;0;0;0
fame_dbms_fm;2;2;1;1;0;2;3
fame_dbms_fm;2;3;0;0;0;0;0
fame_dbms_fm;2;4;0;0;0;0;0
fame_dbms_fm;2;5;0;1;1;1;2
