Name;NoF;CTC;eCTC;pruProp;pruTime;priProp;priTime
300-10-5-2;300;10;5;7;318;10;375
300-10-5-3;300;10;5;18;306;22;326
300-10-5-4;300;10;5;11;453;17;442
300-10-5-5;300;10;5;15;304;23;357
300-10-5-6;300;10;5;15;339;25;333
300-10-5-7;300;10;5;17;224;31;224
300-10-5-8;300;10;5;15;238;26;235
300-10-5-9;300;10;5;5;458;7;445
300-15-0-0;300;15;0;3;377;3;364
300-15-0-1;300;15;0;9;432;24;606
300-15-0-2;300;15;0;7;582;14;570
300-15-0-3;300;15;0;8;472;12;462
300-15-0-4;300;15;0;13;131;24;155
300-15-0-5;300;15;0;6;476;9;437
300-15-0-6;300;15;0;2;406;10;398
300-15-0-7;300;15;0;3;375;4;408
300-15-0-8;300;15;0;5;377;7;375
300-15-0-9;300;15;0;7;391;11;374
300-15-2-0;300;15;2;8;382;19;454
300-15-2-1;300;15;2;8;517;15;529
300-15-2-2;300;15;2;16;246;30;272
300-15-2-3;300;15;2;4;358;18;350
300-15-2-4;300;15;2;9;166;11;226
300-15-2-5;300;15;2;12;497;17;486
300-15-2-6;300;15;2;5;397;7;400
300-15-2-7;300;15;2;9;398;9;414
300-15-2-8;300;15;2;4;401;4;362
300-15-2-9;300;15;2;4;395;7;380
300-15-5-0;300;15;5;7;324;10;319
300-15-5-1;300;15;5;5;253;6;259
300-15-5-2;300;15;5;11;333;21;342
300-15-5-3;300;15;5;11;190;18;184
300-15-5-4;300;15;5;18;110;33;127
300-15-5-5;300;15;5;14;43;23;64
300-15-5-6;300;15;5;12;446;18;367
300-15-5-7;300;15;5;5;379;5;402
300-15-5-8;300;15;5;9;385;14;389
300-15-5-9;300;15;5;9;287;14;269
