Name;NoF;CTC;eCTC;pruProp;pruTime;priProp;priTime;packTime
50-5-0-3;50;5;0;1;9;1;10;15
50-5-0-4;50;5;0;1;13;0;15;21
50-5-0-5;50;5;0;1;11;1;11;16
50-5-0-6;50;5;0;1;9;0;10;13
50-5-0-7;50;5;0;0;10;0;9;11
50-5-0-8;50;5;0;1;12;1;11;15
50-5-0-9;50;5;0;1;10;0;14;17
50-5-2-0;50;5;2;0;12;1;12;16
50-5-2-1;50;5;2;1;9;1;13;16
50-5-2-2;50;5;2;1;9;1;10;15
50-5-2-3;50;5;2;0;7;1;12;11
50-5-2-4;50;5;2;0;4;1;4;6
50-5-2-5;50;5;2;1;6;1;7;9
50-5-2-6;50;5;2;1;11;1;11;14
50-5-2-7;50;5;2;1;7;1;8;12
50-5-2-8;50;5;2;0;11;0;14;15
50-5-2-9;50;5;2;1;12;1;9;12
50-5-5-0;50;5;5;1;9;1;10;15
50-5-5-1;50;5;5;0;6;1;4;6
50-5-5-2;50;5;5;0;6;1;8;12
50-5-5-3;50;5;5;1;9;1;11;15
50-5-5-4;50;5;5;1;8;1;10;13
50-5-5-5;50;5;5;1;8;1;11;14
50-5-5-6;50;5;5;1;8;1;7;10
50-5-5-7;50;5;5;0;14;0;12;16
50-5-5-8;50;5;5;1;10;0;10;12
50-5-5-9;50;5;5;1;6;1;7;11
50-10-0-0;50;10;0;1;5;0;5;8
50-10-0-1;50;10;0;0;9;0;11;12
50-10-0-2;50;10;0;0;13;0;12;16
50-10-0-3;50;10;0;1;11;1;12;15
50-10-0-4;50;10;0;1;8;1;10;13
50-10-0-5;50;10;0;0;10;1;12;16
50-10-0-6;50;10;0;1;1;1;2;3
50-10-0-7;50;10;0;1;7;1;7;8
50-10-0-8;50;10;0;1;6;0;7;9
50-10-0-9;50;10;0;1;9;1;11;19
50-10-2-0;50;10;2;1;4;1;4;7
50-10-2-1;50;10;2;0;7;0;11;13
50-10-2-2;50;10;2;1;0;1;1;2
50-10-2-3;50;10;2;1;7;1;9;13
50-10-2-4;50;10;2;1;6;1;6;8
50-10-2-5;50;10;2;0;9;1;10;12
50-10-2-6;50;10;2;0;6;1;6;8
50-10-2-7;50;10;2;1;9;1;9;14
50-10-2-8;50;10;2;1;4;1;5;7
50-10-2-9;50;10;2;0;10;1;11;16
50-10-5-0;50;10;5;1;9;0;10;13
50-10-5-1;50;10;5;1;9;1;8;10
50-10-5-2;50;10;5;0;7;1;7;12
50-10-5-3;50;10;5;1;7;0;9;12
50-10-5-4;50;10;5;1;8;1;8;11
50-10-5-5;50;10;5;1;3;1;4;7
50-10-5-6;50;10;5;0;7;0;9;11
50-10-5-7;50;10;5;1;8;1;10;14
50-10-5-8;50;10;5;1;7;1;8;11
50-10-5-9;50;10;5;1;9;1;11;14
50-15-0-0;50;15;0;1;1;1;1;3
50-15-0-1;50;15;0;0;11;0;11;12
50-15-0-2;50;15;0;1;9;1;9;12
50-15-0-3;50;15;0;0;8;1;8;9
50-15-0-4;50;15;0;0;4;1;4;8
50-15-0-5;50;15;0;0;11;1;10;13
50-15-0-6;50;15;0;0;10;1;9;12
50-15-0-7;50;15;0;1;11;1;12;16
50-15-0-8;50;15;0;0;9;1;10;13
50-15-0-9;50;15;0;0;11;0;11;13
50-15-2-0;50;15;2;0;6;1;3;6
50-15-2-1;50;15;2;0;12;0;16;22
50-15-2-2;50;15;2;1;12;1;13;18
